"wd16cd","wd16nm","lad16nm","2011_no2_total","2015_no2_total","2020_no2_total","2025_no2_total","2030_no2_total","2011_pm25_total","2011_pm25_secondary","2011_pm25_residual_salt","2015_pm25_total","2015_pm25_secondary","2015_pm25_residual_salt","2020_pm25_total","2020_pm25_secondary","2020_pm25_residual_salt","2025_pm25_total","2025_pm25_secondary","2025_pm25_residual_salt","2030_pm25_total","2030_pm25_secondary","2030_pm25_residual_salt"
"E05000748","Milkstone and Deeplish","Rochdale",24.533836092437,21.1964561764706,17.0219889915966,13.8836389495798,12.2522817226891,12.2069300420168,4.44570800420168,4.73333015966387,8.63581785294118,2.83334567647059,3.53596305042017,8.13054542016807,2.60305263865546,3.48474805042017,7.96685648739496,2.488703,3.48238944957983,7.93742934453782,2.42192622268908,3.49144344957983
"E05000749","Milnrow and Newhey","Rochdale",18.2409085569905,14.3114615103874,11.2377240718697,9.04892251993262,7.91115787254351,10.8787204486244,4.53196803537339,4.59050956653565,7.53790003144301,2.85404918304323,3.45098480853453,7.12754492588433,2.62112561089276,3.39976984671533,6.989443698484,2.50544084053902,3.39741127793375,6.94752125098259,2.43816724929815,3.40646523919147
"E05000750","Norden","Rochdale",14.650769571594,11.5573641254342,9.31735937475878,7.69587627904284,6.83965197722887,10.1317699544577,4.37552878116557,4.25842973523736,6.97642159011964,2.8107041976071,3.10796574951756,6.61671801775376,2.58273270127364,3.0567507603242,6.48193091084523,2.46949265032806,3.05439207989193,6.42980299729834,2.40248496024701,3.06344607217291
"E05000751","North Heywood","Rochdale",21.5369145945946,17.4565467927928,14.0605262702703,11.5467024576577,10.2600208630631,11.6188778558559,4.42515301621622,4.60402281801802,7.97316838018018,2.82917150630631,3.44707568288288,7.52010556756757,2.59947628288288,3.39586074774775,7.36771554594595,2.48554730630631,3.39350226126126,7.32692395675676,2.41888752432432,3.40255626126126
"E05000752","North Middleton","Rochdale",24.1432935555556,19.6428363333333,15.7725694444444,12.9924457407407,11.572016,11.9725807037037,4.472908,4.64778355185185,8.20580362592593,2.854789,3.45615485555556,7.72153912592593,2.621712,3.40493985555556,7.57197185925926,2.505942,3.40258121851852,7.54161607037037,2.438644,3.41163521851852
"E05000753","Smallbridge and Firgrove","Rochdale",20.1699440080972,16.5453996356275,13.1977333198381,10.8050294574899,9.55548860323887,11.2699277327935,4.48495663967611,4.52883887044534,7.89111672064777,2.83900133198381,3.36589360323887,7.46046019433198,2.60664759919028,3.31467860323887,7.31480474089069,2.49084611740891,3.31231987449393,7.27717117813765,2.42349044129555,3.32137387449393
"E05000754","South Middleton","Rochdale",25.0206753,20.9111244,16.733504475,13.3583561,11.656491075,12.310884375,4.4789537,4.8931269625,8.4918355325,2.86325464,3.6697502125,7.9883258525,2.62913346,3.6185352125,7.8266382425,2.5129123625,3.6161762425,7.794248825,2.445419025,3.6252302125
"E05000755","Spotland and Falinge","Rochdale",16.555128566494,13.3204845354059,10.7117291260794,8.81976035233161,7.83658212607945,10.4756654853195,4.41122307772021,4.30711768393782,7.14647346459413,2.81849042487047,3.12498824006908,6.75968707426598,2.58760977202073,3.07377336442142,6.61973806908463,2.47221413471503,3.07141471675302,6.57385716234888,2.40497703108808,3.08046871675302
"E05000756","Wardle and West Littleborough","Rochdale",13.7035671717929,10.809926732183,8.7308159699925,7.2853631387847,6.50592388072018,9.91458874418605,4.45103361215304,4.20308236834209,6.80415834283571,2.82314964816204,3.06143191597899,6.44624035858965,2.58906865866467,3.01015057989497,6.3116253735934,2.47142256264066,3.00776365341335,6.25955067366842,2.40291378394599,3.01679758589647
"E05000757","West Heywood","Rochdale",23.1342287073609,18.8725946678636,15.3196511849192,12.4472107719928,10.9210433070018,11.9942832495512,4.38511951885099,4.83380077558348,8.36868967684022,2.82637828007181,3.79657312028725,7.91075827827648,2.59738131956912,3.74535818312388,7.755449491921,2.48442471633752,3.74299946499102,7.71293057271095,2.41791922441652,3.75205341831239
"E05000758","West Middleton","Rochdale",24.3347906666667,19.4087337058824,15.3194426470588,12.1346499411765,10.513057745098,12.0792661176471,4.45407107843137,4.90927275294118,8.31873571764706,2.85087655882353,3.77010079607843,7.83535410196078,2.61842220588235,3.71888579607843,7.67604722352941,2.50318188235294,3.71652684901961,7.63659978823529,2.43600841176471,3.7255808
"E05000759","Barton","Salford",28.1916015294118,23.7938474901961,18.9265754509804,15.0046342352941,12.9881077098039,12.5579648627451,4.33926118431373,5.06110657254902,9.07303678039216,2.82197755294118,3.95543037647059,8.50110890980392,2.57694549019608,3.90836361568627,8.30215817254902,2.45513074117647,3.90589237647059,8.25027932156863,2.38060900784314,3.91427237647059
"E05000760","Boothstown and Ellenbrook","Salford",19.56674029036,15.9520562833914,12.6128489430894,10.220377126597,8.95894121370499,10.9163546806039,4.26776896747967,4.67654864924506,7.89568306387921,2.80112727642276,3.67772844947735,7.45828299767712,2.55954293495935,3.63035159001161,7.29920567944251,2.43942616260163,3.62800620325203,7.24221009407665,2.36622173170732,3.63650498722416
"E05000761","Broughton","Salford",26.6985556060606,23.0791784090909,18.1286396969697,14.4828201893939,12.7197067424242,12.3792301136364,4.45475260227273,4.73340550757576,8.73076410984848,2.88203290909091,3.64008381439394,8.20400733333333,2.64404964772727,3.58996012878788,8.03252340151515,2.52635363636364,3.58767837878788,7.99666814772727,2.45620878409091,3.59666653787879
"E05000762","Cadishead","Salford",20.2887462525458,16.4016533129667,12.8440867141887,10.2219395023761,8.85242685675492,11.0967453088934,4.26356976238968,4.76959041412084,8.11474657298031,2.8215625179905,3.82604425797692,7.65860046843177,2.57656030821453,3.7789772946368,7.49542565648337,2.45475877257298,3.77650618601494,7.43832188730482,2.38024211201629,3.78488602987101
"E05000763","Claremont","Salford",26.9165013227513,22.8765379365079,18.1620058201058,14.4458052910053,12.5683955555556,12.5402185714286,4.33346948148148,4.88202557142857,8.72404344444444,2.81216344444444,3.67863832275132,8.19617603703704,2.57086907936508,3.63075186243386,8.01183853968254,2.4508503968254,3.62860126984127,7.96723821164021,2.37865967724868,3.63729416931217
"E05000764","Eccles","Salford",27.6292360074627,23.477392761194,18.6154976865672,14.7587935074627,12.8285572014925,12.5160713059701,4.34074261940299,4.98804103731343,8.89493425373134,2.82180851492537,3.82510024253731,8.33725320522388,2.57689624626866,3.77799592537313,8.14292654104478,2.45513697014925,3.77553963059701,8.09356305970149,2.38071748507463,3.78393399626866
"E05000765","Irlam","Salford",23.2762206737968,18.6592618395722,14.5290043101604,11.3662259903743,9.7246351144385,11.572399144385,4.27696466417112,5.02137253796791,8.35915476256685,2.8097582684492,3.98751581604278,7.87082366951872,2.56626626417112,3.94044887165775,7.70030030481283,2.44522801497326,3.93797787058824,7.64607562780749,2.37100156256684,3.94635743957219
"E05000766","Irwell Riverside","Salford",27.8701933039648,23.4682676211454,18.4204307709251,14.8878426872247,13.135920814978,12.5593224229075,4.45695166299559,4.79124111453744,8.75925488986784,2.88577262995595,3.65103098237885,8.20613826211454,2.64610916960352,3.60146161013216,8.03037085903084,2.52745321145374,3.59922124008811,7.98921036784141,2.45608821365639,3.6081729339207
"E05000767","Kersal","Salford",23.9559943949045,20.218486433121,15.9857320700637,12.879383566879,11.3587066878981,11.8830534713376,4.440872,4.65436486305733,8.30019493312102,2.868407,3.50281235031847,7.82099650955414,2.634006,3.45159740127389,7.65946029617834,2.518319,3.44923875796178,7.62140641719745,2.450794,3.45829275796178
"E05000768","Langworthy","Salford",30.3851276585366,25.7177206341463,20.4414766341463,16.5338493170732,14.5761037560976,13.3369316097561,4.47553340487805,5.01106029268293,9.38572084878049,2.90419811707317,3.8721149902439,8.77389633170732,2.65961015609756,3.82403347317073,8.58079649756097,2.53820455121951,3.82188157560976,8.53893932195122,2.46325716585366,3.83073194634146
